line,age,current_club,current_league,foot,height,nationality,position,year,games,goals,minutes,assists,algo
Wesley Saïd,22,FCO Dijon,FRA - Ligue 1,right,171,France  Mauritius,W,15,11,1,454,1,
Chang-hun Kwon,23,FCO Dijon,FRA - Ligue 1,left,174,Korea South,W,15,22,6,1622,3,
Benjamin Jeannot,26,FCO Dijon,FRA - Ligue 1,right,183,France,CF,15,37,14,2434,2,
Julio Tavarès,29,FCO Dijon,FRA - Ligue 1,right,187,Cape Verde  France,CF,15,39,12,3153,4,
Marcus Coco,21,EA Guingamp,FRA - Ligue 1,right,184,France  Guadeloupe,W,15,33,1,1934,2,
Nicolas Benezet,27,EA Guingamp,FRA - Ligue 1,right,170,France,W,15,21,4,1347,4,
Abdoul Camara,28,EA Guingamp,FRA - Ligue 1,left,178,Guinea  France,W,15,26,2,1840,1,
Thibault Giresse,36,EA Guingamp,FRA - Ligue 1,left,172,France,W,15,30,5,2085,4,
Yannis Salibur,27,EA Guingamp,FRA - Ligue 1,left,177,France  DR Congo,W,15,34,10,2781,6,
Yeni N'Gbakoto,26,EA Guingamp,FRA - Ligue 1,right,173,DR Congo  France,W,15,40,13,3630,11,
Jimmy Briand,32,EA Guingamp,FRA - Ligue 1,right,183,France  Martinique,CF,15,39,8,3218,7,
Marcus Thuram,20,EA Guingamp,FRA - Ligue 1,right,192,France  Guadeloupe,CF,15,19,0,773,1,
Nathaël Julan,21,EA Guingamp,FRA - Ligue 1,right,196,France,CF,15,3,0,22,0,
Hervé Bazile,27,SM Caen,FRA - Ligue 1,left,181,Haiti  France,W,15,26,0,1093,3,
Jordan N'Kololo,25,SM Caen,FRA - Ligue 1,right,183,DR Congo  France,W,15,18,0,600,0,
Jan Repas,20,SM Caen,FRA - Ligue 1,both,171,Slovenia,W,15,10,1,662,1,
Timo Stavitski,18,SM Caen,FRA - Ligue 1,right,180,Finland,W,15,14,2,772,0,
Ronny Rodelin,28,SM Caen,FRA - Ligue 1,right,192,France,CF,15,37,10,3068,2,
Ivan Santini,28,SM Caen,FRA - Ligue 1,right,190,Croatia,CF,15,36,13,2423,1,
Enzo Crivelli,23,SM Caen,FRA - Ligue 1,right,184,France,CF,15,41,6,2189,5,
Christian Kouakou,27,SM Caen,FRA - Ligue 1,right,182,Cote d'Ivoire,CF,15,27,8,1457,2,
Thomas Touré,24,SCO Angers,FRA - Ligue 1,right,175,Cote d'Ivoire  France,W,15,30,3,1372,4,
Billy Ketkeophomphone,27,SCO Angers,FRA - Ligue 1,right,180,France  Laos,W,15,38,6,2918,7,
Gilles Sunu,26,SCO Angers,FRA - Ligue 1,right,181,Togo  France,W,15,35,2,2584,1,
Wilfried Kanga,20,SCO Angers,FRA - Ligue 1,right,185,Cote d'Ivoire  France,W,15,6,1,178,0,
Karl Toko Ekambi,25,SCO Angers,FRA - Ligue 1,right,183,Cameroon  France,CF,15,40,11,3034,1,
Baptiste Guillaume,22,SCO Angers,FRA - Ligue 1,right,189,Belgium,CF,15,12,0,612,0,
Goran Karanovic,30,SCO Angers,FRA - Ligue 1,right,185,Switzerland  Serbia,CF,15,13,1,395,0,
Férébory Doré,29,SCO Angers,FRA - Ligue 1,right,193,Congo,CF,15,9,0,618,0,
Martin Terrier,21,RC Strasbourg Alsace,FRA - Ligue 1,right,184,France,W,15,,,,,
Idriss Saadi,26,RC Strasbourg Alsace,FRA - Ligue 1,right,180,Algeria  France,CF,15,3,1,111,0,
Nuno Da Costa,27,RC Strasbourg Alsace,FRA - Ligue 1,right,182,Cape Verde  France,CF,15,24,10,1476,0,
Stéphane Bahoken,25,RC Strasbourg Alsace,FRA - Ligue 1,right,185,France  Cameroon,CF,15,30,6,1644,1,
Jérémy Blayac,34,RC Strasbourg Alsace,FRA - Ligue 1,right,187,France,CF,15,31,7,2541,1,
Hyun-Jun Suk,26,ES Troyes AC,FRA - Ligue 1,right,191,Korea South,CF,15,34,13,2392,9,
Adama Niane,24,ES Troyes AC,FRA - Ligue 1,right,183,Mali,CF,15,,,,,
Jonathan Tinhan,28,ES Troyes AC,FRA - Ligue 1,right,177,Benin  France,CF,15,13,4,997,0,
Raphaël Cacérès,30,ES Troyes AC,FRA - Ligue 1,right,187,France,CF,15,24,7,1166,3,
Mamadou Sissako,21,ES Troyes AC,FRA - Ligue 1,right,171,France  Mauritania,CF,15,1,0,90,0,
Mathieu Dossevi,30,FC Metz,FRA - Ligue 1,right,172,Togo  France,W,15,34,7,2695,15,
Opa Nguette,23,FC Metz,FRA - Ligue 1,right,181,Senegal  France,W,15,14,1,752,1,
Ablie Jallow,19,FC Metz,FRA - Ligue 1,,166,The Gambia,W,15,,,,,
Nolan Roux,30,FC Metz,FRA - Ligue 1,right,182,France,CF,15,44,11,3149,8,
Ibrahima Niane,19,FC Metz,FRA - Ligue 1,,187,Senegal,CF,15,,,,,
Emmanuel Rivière,28,FC Metz,FRA - Ligue 1,right,182,France  Martinique,CF,15,3,0,63,0,
Stiven Mendoza,25,SC Amiens,FRA - Ligue 1,,172,Colombia,W,15,25,5,1223,0,
Moussa Konaté,24,SC Amiens,FRA - Ligue 1,right,183,Senegal,CF,15,39,14,3135,9,
Lacina Traoré,27,SC Amiens,FRA - Ligue 1,right,203,Cote d'Ivoire,CF,15,27,10,1353,2,
Quentin Cornette,24,SC Amiens,FRA - Ligue 1,right,172,France,CF,15,6,0,235,1,
Bachibou Koita,23,SC Amiens,FRA - Ligue 1,right,180,Niger,CF,15,,,,,
Douglas Costa,27,Juventus FC,ITA - Serie A,left,172,Brazil,W,15,43,7,3408,18,
Federico Bernardeschi,24,Juventus FC,ITA - Serie A,left,183,Italy,W,15,41,6,2834,6,
Juan Cuadrado,29,Juventus FC,ITA - Serie A,right,179,Colombia,W,15,41,5,2465,8,
Gonzalo Higuaín,30,Juventus FC,ITA - Serie A,right,184,Argentina  France,CF,15,42,38,3287,3,
Mario Mandzukic,31,Juventus FC,ITA - Serie A,right,190,Croatia,CF,15,36,13,2678,6,
Lorenzo Insigne,26,SSC Napoli,ITA - Serie A,right,163,Italy,W,15,42,13,2856,11,
Adam Ounas,21,SSC Napoli,ITA - Serie A,left,172,Algeria  France,W,15,30,6,1701,3,
Leandrinho B,19,SSC Napoli,ITA - Serie A,right,174,Brazil,W,15,,,,,
José Callejón,31,SSC Napoli,ITA - Serie A,right,178,Spain,W,15,47,13,3389,13,
Dries Mertens,30,SSC Napoli,ITA - Serie A,right,169,Belgium,CF,15,40,11,1682,7,
Arkadiusz Milik,24,SSC Napoli,ITA - Serie A,left,186,Poland,CF,15,42,24,3275,12,
Ivan Perisic,29,Inter Milan,ITA - Serie A,both,187,Croatia,W,15,41,10,2915,6,
Antonio Candreva,31,Inter Milan,ITA - Serie A,right,181,Italy,W,15,44,12,3141,5,
Yann Karamoh,19,Inter Milan,ITA - Serie A,right,185,France  Cote d'Ivoire,W,15,,,,,
Mauro Icardi,25,Inter Milan,ITA - Serie A,right,181,Argentina  Italy,CF,15,34,16,2636,4,
Andrea Pinamonti,18,Inter Milan,ITA - Serie A,right,185,Italy,CF,15,33,17,1847,0,
Diego Perotti,29,AS Roma,ITA - Serie A,right,179,Argentina  Spain,W,15,34,4,2539,9,
Stephan El Shaarawy,25,AS Roma,ITA - Serie A,right,178,Italy  Egypt,W,15,42,11,2447,3,
Cengiz Ünder,20,AS Roma,ITA - Serie A,left,173,Turkey,W,15,32,6,2463,4,
Gerson,20,AS Roma,ITA - Serie A,left,184,Brazil,W,15,2,0,72,0,
Edin Dzeko,31,AS Roma,ITA - Serie A,both,192,Bosnia-Herzegovina,CF,15,39,10,2555,6,
Patrik Schick,22,AS Roma,ITA - Serie A,left,190,Czech Republic,CF,15,28,7,2015,1,
Grégoire Defrel,26,AS Roma,ITA - Serie A,left,179,France  Martinique,CF,15,35,7,2099,6,
Fabio Borini,26,AC Milan,ITA - Serie A,right,180,Italy,W,15,27,5,1988,2,
Suso,24,AC Milan,ITA - Serie A,left,177,Spain,W,15,21,6,1296,2,
Nnamdi Oduamadi,27,AC Milan,ITA - Serie A,right,175,Nigeria,W,15,30,7,2463,6,
André Silva,22,AC Milan,ITA - Serie A,right,184,Portugal,CF,15,43,17,3346,6,
Nikola Kalinic,30,AC Milan,ITA - Serie A,both,187,Croatia,CF,15,46,16,3214,7,
Patrick Cutrone,20,AC Milan,ITA - Serie A,right,183,Italy,CF,15,25,14,2130,3,
Nani,31,SS Lazio,ITA - Serie A,both,177,Portugal  Cape Verde,W,15,47,12,3732,13,
Pedro Neto,18,SS Lazio,ITA - Serie A,left,172,Portugal,W,15,,,,,
Ciro Immobile,28,SS Lazio,ITA - Serie A,right,185,Italy,CF,15,29,9,1673,5,
Felipe Caicedo,29,SS Lazio,ITA - Serie A,left,183,Ecuador  Spain,CF,15,34,10,2360,0,
Filip Djordjevic,30,SS Lazio,ITA - Serie A,left,186,Serbia,CF,15,32,6,1498,2,
Brayan Perea,25,SS Lazio,ITA - Serie A,right,190,Colombia,CF,15,13,1,605,0,
Rafik Zekhnini,20,ACF Fiorentina,ITA - Serie A,right,179,Norway  Morocco,W,15,28,5,2011,7,
Federico Chiesa,20,ACF Fiorentina,ITA - Serie A,right,175,Italy,W,15,29,8,2396,3,
Gil Dias,21,ACF Fiorentina,ITA - Serie A,left,183,Portugal,W,15,15,6,1253,1,
Giovanni Simeone,22,ACF Fiorentina,ITA - Serie A,right,179,Argentina  Spain,CF,15,16,5,1281,0,
Diego Falcinelli,26,ACF Fiorentina,ITA - Serie A,left,186,Italy,CF,15,27,3,1231,2,
Cyril Théréau,34,ACF Fiorentina,ITA - Serie A,right,189,France,CF,15,37,12,2995,3,
Andrea Petagna,22,Atalanta BC,ITA - Serie A,left,190,Italy,CF,15,32,7,2001,0,
Andreas Cornelius,24,Atalanta BC,ITA - Serie A,left,193,Denmark,CF,15,32,6,1837,2,
Álex Berenguer,22,Torino FC,ITA - Serie A,right,175,Spain,W,15,39,3,1848,4,
Iago Falque,28,Torino FC,ITA - Serie A,left,174,Spain,W,15,27,3,1501,2,
Simone Edera,21,Torino FC,ITA - Serie A,left,174,Italy,W,15,34,13,2203,7,
Andrea Belotti,24,Torino FC,ITA - Serie A,right,181,Italy,CF,15,37,12,2749,6,
M'Baye Niang,23,Torino FC,ITA - Serie A,right,184,Senegal  France,CF,15,21,8,1411,5,
DuvAAn Zapata,26,UC Sampdoria,ITA - Serie A,right,189,Colombia,CF,15,27,8,1573,4,
Dawid Kownacki,20,UC Sampdoria,ITA - Serie A,right,186,Poland,CF,15,34,7,1798,1,
Fabio Quagliarella,35,UC Sampdoria,ITA - Serie A,right,182,Italy,CF,15,34,8,2693,3,
Antonino Ragusa,27,US Sassuolo,ITA - Serie A,right,183,Italy,W,15,41,9,3041,8,
Nicholas Pierini,19,US Sassuolo,ITA - Serie A,right,176,Italy,W,15,30,21,2343,5,
Domenico Berardi,23,US Sassuolo,ITA - Serie A,left,183,Italy,W,15,32,8,2451,8,
Matteo Politano,24,US Sassuolo,ITA - Serie A,left,171,Italy,W,15,29,5,1071,2,
Khouma Babacar,24,US Sassuolo,ITA - Serie A,right,185,Senegal,CF,15,24,7,1199,1,
Alessandro Matri,33,US Sassuolo,ITA - Serie A,right,183,Italy,CF,15,31,7,1488,3,
Rodrigo de Paul,23,Udinese Calcio,ITA - Serie A,right,180,Argentina  Italy,W,15,29,1,1491,1,
Svante Ingelsson,19,Udinese Calcio,ITA - Serie A,left,189,Sweden,W,15,27,4,1482,1,
Kevin Lasagna,25,Udinese Calcio,ITA - Serie A,left,181,Italy,CF,15,39,5,1639,4,
Stipe Perica,22,Udinese Calcio,ITA - Serie A,right,192,Croatia,CF,15,13,3,642,0,
Rodrigo Aguirre,23,Udinese Calcio,ITA - Serie A,left,186,Uruguay,CF,15,29,3,1696,2,
Maxi López,33,Udinese Calcio,ITA - Serie A,right,185,Argentina  Italy,CF,15,29,6,1296,3,
Iuri Medeiros,23,Genoa CFC,ITA - Serie A,left,174,Portugal,W,15,34,10,2513,13,
Gianluca Lapadula,28,Genoa CFC,ITA - Serie A,left,178,Italy  Peru,CF,15,46,30,4044,12,
Giuseppe Rossi,31,Genoa CFC,ITA - Serie A,left,173,Italy  United States,CF,15,33,8,1872,5,
Andrej Galabinov,29,Genoa CFC,ITA - Serie A,right,190,Bulgaria,CF,15,40,13,2245,5,
Eddy Salcedo,16,Genoa CFC,ITA - Serie A,right,188,Italy  Colombia,CF,15,,,,,
Ladislav Krejcí,25,Bologna FC 1909,ITA - Serie A,left,178,Czech Republic,W,15,44,8,3675,9,
Simone Verdi,25,Bologna FC 1909,ITA - Serie A,both,174,Italy,W,15,21,4,874,1,
Riccardo Orsolini,21,Bologna FC 1909,ITA - Serie A,left,183,Italy,W,15,35,22,3036,10,
Federico Di Francesco,23,Bologna FC 1909,ITA - Serie A,right,171,Italy,W,15,38,8,2877,5,
Mattia Destro,26,Bologna FC 1909,ITA - Serie A,right,182,Italy,CF,15,27,8,2135,2,
Felipe Avenatti,24,Bologna FC 1909,ITA - Serie A,left,196,Uruguay  Spain,CF,15,37,6,2129,4,
Rodrigo Palacio,36,Bologna FC 1909,ITA - Serie A,right,176,Argentina  Spain,CF,15,30,3,1524,4,
Leonardo Pavoletti,29,Cagliari Calcio,ITA - Serie A,right,188,Italy,CF,15,26,15,2036,3,
Marco Sau,30,Cagliari Calcio,ITA - Serie A,right,169,Italy,CF,15,31,11,2206,7,
Kwang-Song Han,19,Cagliari Calcio,ITA - Serie A,both,178,Korea North,CF,15,,,,,
Niccolò Giannetti,26,Cagliari Calcio,ITA - Serie A,right,181,Italy,CF,15,33,9,1893,8,
Damir Ceter,20,Cagliari Calcio,ITA - Serie A,right,188,Colombia,CF,15,,,,,
Emanuele Giaccherini,32,Chievo Verona,ITA - Serie A,right,167,Italy,W,15,28,7,2185,1,
Emanuel Vignato,17,Chievo Verona,ITA - Serie A,right,175,Italy  Brazil,W,15,22,15,1620,0,
Roberto Inglese,26,Chievo Verona,ITA - Serie A,right,186,Italy,CF,15,26,3,1377,3,
Mariusz Stepinski,22,Chievo Verona,ITA - Serie A,right,183,Poland,CF,15,36,15,2790,3,
Sergio Pellissier,38,Chievo Verona,ITA - Serie A,right,175,Italy,CF,15,20,5,1069,0,
Alberto Paloschi,28,SPAL 2013,ITA - Serie A,right,183,Italy,CF,15,32,10,2461,1,
Federico Bonazzoli,20,SPAL 2013,ITA - Serie A,left,182,Italy,CF,15,24,1,693,0,
Mirco Antenucci,33,SPAL 2013,ITA - Serie A,right,180,Italy,CF,15,43,9,2564,6,
Marco Borriello,35,SPAL 2013,ITA - Serie A,left,186,Italy,CF,15,29,9,1727,4,
Sergio Floccari,36,SPAL 2013,ITA - Serie A,right,180,Italy  San Marino,CF,15,25,6,1552,1,
Seung-Woo Lee,20,Hellas Verona,ITA - Serie A,right,173,Korea South,W,15,3,1,193,0,
Rolando Aarons,22,Hellas Verona,ITA - Serie A,left,177,England  Jamaica,W,15,11,1,465,1,
Daniele Verde,21,Hellas Verona,ITA - Serie A,left,168,Italy,W,15,16,3,516,1,
Alessio Cerci,30,Hellas Verona,ITA - Serie A,left,180,Italy,W,15,26,4,1384,2,
Enrico Bearzotti,21,Hellas Verona,ITA - Serie A,right,180,Italy,W,15,16,0,691,0,
Moise Kean,18,Hellas Verona,ITA - Serie A,right,183,Italy  Cote d'Ivoire,CF,15,30,25,1940,0,
Bruno Petkovic,23,Hellas Verona,ITA - Serie A,right,193,Croatia,CF,15,34,8,2088,8,
Marco D'Alessandro,27,Benevento Calcio,ITA - Serie A,right,173,Italy,W,15,25,3,1336,3,
Guilherme,26,Benevento Calcio,ITA - Serie A,left,174,Brazil,W,15,55,8,3830,11,
Vittorio Parigini,21,Benevento Calcio,ITA - Serie A,right,180,Italy,W,15,19,4,1089,1,
Cristiano Lombardi,22,Benevento Calcio,ITA - Serie A,right,180,Italy,W,15,26,4,1387,2,
Pietro Iemmello,26,Benevento Calcio,ITA - Serie A,right,180,Italy,CF,15,42,37,3518,6,
Massimo Coda,29,Benevento Calcio,ITA - Serie A,right,184,Italy,CF,15,43,17,3182,2,
Cheick Diabaté,29,Benevento Calcio,ITA - Serie A,right,194,Mali,CF,15,28,13,1880,5,
Adrian Stoian,27,FC Crotone,ITA - Serie A,both,178,Romania,W,15,34,5,1920,6,
Federico Ricci,23,FC Crotone,ITA - Serie A,left,175,Italy,W,15,38,11,2947,8,
Andrea Nalini,27,FC Crotone,ITA - Serie A,right,180,Italy,W,15,11,0,677,1,
Moussa Diaby,18,FC Crotone,ITA - Serie A,left,170,France,W,15,,,,,
Marcello Trotta,25,FC Crotone,ITA - Serie A,left,188,Italy,CF,15,29,11,1811,5,
Ante Budimir,26,FC Crotone,ITA - Serie A,left,190,Croatia,CF,15,41,17,3322,4,
Marco Tumminello,19,FC Crotone,ITA - Serie A,left,180,Italy,CF,15,30,12,1779,2,
Simy,25,FC Crotone,ITA - Serie A,right,198,Nigeria,CF,15,46,20,3427,5,
Henry Onyekuru,20,RSC Anderlecht,BEL - Jupiler Pro League,both,175,Nigeria,W,15,19,6,857,2,
Francis Amuzu,18,RSC Anderlecht,BEL - Jupiler Pro League,both,170,Belgium  Ghana,W,15,2,0,28,0,
Lazar Markovic,24,RSC Anderlecht,BEL - Jupiler Pro League,right,175,Serbia,W,15,21,2,1196,3,
Alexandru Chipciu,28,RSC Anderlecht,BEL - Jupiler Pro League,right,176,Romania,W,15,39,9,3256,3,
Massimo Bruno,24,RSC Anderlecht,BEL - Jupiler Pro League,right,178,Belgium  Italy,W,15,27,2,1475,3,
Lukasz Teodorczyk,26,RSC Anderlecht,BEL - Jupiler Pro League,right,185,Poland,CF,15,18,6,637,0,
Silvere Ganvoula,21,RSC Anderlecht,BEL - Jupiler Pro League,both,191,Congo,CF,15,18,5,1210,1,
Lior Refaelov,31,Club Brugge KV,BEL - Jupiler Pro League,both,175,Israel  Belgium,W,15,21,7,1291,5,
Thibault Vlietinck,20,Club Brugge KV,BEL - Jupiler Pro League,right,178,Belgium,W,15,,,,,
Emmanuel Dennis,20,Club Brugge KV,BEL - Jupiler Pro League,right,174,Nigeria,CF,15,,,,,
Wesley,21,Club Brugge KV,BEL - Jupiler Pro League,right,191,Brazil,CF,15,28,10,1877,5,
Abdoulay Diaby,26,Club Brugge KV,BEL - Jupiler Pro League,left,173,Mali  France,CF,15,47,20,3114,9,
Jelle Vossen,28,Club Brugge KV,BEL - Jupiler Pro League,right,180,Belgium,CF,15,46,16,2544,3,
Krépin Diatta,19,Club Brugge KV,BEL - Jupiler Pro League,right,173,Senegal,CF,15,,,,,
Leandro Trossard,23,KRC Genk,BEL - Jupiler Pro League,right,172,Belgium,W,15,31,9,2130,7,
Holly Tshimanga,20,KRC Genk,BEL - Jupiler Pro League,,0,Belgium  DR Congo,W,15,,,,,
Dieumerci Ndongala,26,KRC Genk,BEL - Jupiler Pro League,right,170,DR Congo  Belgium,W,15,41,7,3255,2,
Edon Zhegrova,18,KRC Genk,BEL - Jupiler Pro League,left,174,Kosovo  Albania,W,15,,,,,
Dante Vanzeir,19,KRC Genk,BEL - Jupiler Pro League,right,175,Belgium,W,15,,,,,
Thomas Buffel,37,KRC Genk,BEL - Jupiler Pro League,both,175,Belgium,W,15,44,10,3527,10,
Marcus Ingvartsen,22,KRC Genk,BEL - Jupiler Pro League,left,187,Denmark,CF,15,24,5,1295,2,
Mbwana Samatta,25,KRC Genk,BEL - Jupiler Pro League,both,180,Tanzania,CF,15,20,5,1085,3,
Moses Simon,22,KAA Gent,BEL - Jupiler Pro League,both,168,Nigeria,W,15,41,3,2339,4,
Aboubakary Koita,19,KAA Gent II,BEL - Jupiler Pro League,right,175,Belgium  Senegal,W,15,2,0,18,0,
Samuel Kalu,20,KAA Gent,BEL - Jupiler Pro League,right,176,Nigeria,W,15,17,4,1153,2,
Yuya Kubo,24,KAA Gent,BEL - Jupiler Pro League,right,178,Japan,CF,15,36,11,2579,5,
Mamadou Sylla,23,KAA Gent,BEL - Jupiler Pro League,right,184,Senegal  Spain,CF,15,17,1,388,0,
Roman Yaremchuk,22,KAA Gent,BEL - Jupiler Pro League,right,191,Ukraine,CF,15,1,0,45,0,
Rangelo Janga,25,KAA Gent,BEL - Jupiler Pro League,right,192,Curacao  Netherlands,CF,15,37,24,3101,2,
Edmílson Junior,23,Standard Liège,BEL - Jupiler Pro League,right,180,Brazil  Belgium,W,15,35,9,2881,6,
Paul-José Mpoku,25,Standard Liège,BEL - Jupiler Pro League,right,174,DR Congo  Belgium,W,15,20,0,753,0,
Moussa Djenepo,19,Standard Liège,BEL - Jupiler Pro League,,0,Mali,W,15,,,,,
Mehdi Carcela-González,28,Standard Liège,BEL - Jupiler Pro League,left,179,Morocco  Belgium,W,15,29,3,1342,7,
Duje Cop,28,Standard Liège,BEL - Jupiler Pro League,right,186,Croatia,CF,15,32,7,2064,3,
Renaud Emond,26,Standard Liège,BEL - Jupiler Pro League,right,186,Belgium,CF,15,31,4,1426,1,
Hassane Bandé,19,KV Mechelen,BEL - Jupiler Pro League,right,178,Burkina Faso,W,15,,,,,
Clément Tainmont,32,KV Mechelen,BEL - Jupiler Pro League,left,185,France,W,15,29,1,1512,9,
Andy Kawaya,21,KV Mechelen,BEL - Jupiler Pro League,left,174,Belgium  DR Congo,W,15,17,0,651,0,
Abou Ouattara,18,KV Mechelen,BEL - Jupiler Pro League,,0,Burkina Faso,W,15,,,,,
Fatos Beqiraj,29,KV Mechelen,BEL - Jupiler Pro League,right,188,Montenegro  Kosovo,CF,15,28,8,2339,3,
Nicolas Verdier,31,KV Mechelen,BEL - Jupiler Pro League,left,187,France,CF,15,35,10,2592,5,
Nicklas Pedersen,30,KV Mechelen,BEL - Jupiler Pro League,right,188,Denmark,CF,15,13,1,323,0,
Knowledge Musona,27,KV Oostende,BEL - Jupiler Pro League,both,177,Zimbabwe,W,15,36,13,2583,6,
Ibrahima Conté,26,KV Oostende,BEL - Jupiler Pro League,left,177,Guinea  Belgium,W,15,10,0,485,2,
Nicolas Rajsel,24,KV Oostende,BEL - Jupiler Pro League,right,178,Slovenia  France,W,15,31,12,2529,0,
Richairo Zivkovic,21,KV Oostende,BEL - Jupiler Pro League,right,187,Netherlands  Serbia,CF,15,33,10,2233,3,
Zinho Gano,24,KV Oostende,BEL - Jupiler Pro League,right,198,Belgium  Guinea-Bissau,CF,15,36,10,3013,1,
Joseph Akpala,31,KV Oostende,BEL - Jupiler Pro League,right,184,Nigeria  Belgium,CF,15,36,7,1978,1,
Theo Bongonda,22,SV Zulte Waregem,BEL - Jupiler Pro League,left,177,Belgium,W,15,26,2,1308,2,
Nill De Pauw,28,SV Zulte Waregem,BEL - Jupiler Pro League,right,180,Belgium  DR Congo,W,15,15,0,537,0,
Alessandro Cordaro,31,SV Zulte Waregem,BEL - Jupiler Pro League,both,169,Belgium  Italy,W,15,25,1,1473,3,
Aaron Leya Iseka,20,SV Zulte Waregem,BEL - Jupiler Pro League,right,182,Belgium  DR Congo,CF,15,5,0,111,0,
Peter Olayinka,22,SV Zulte Waregem,BEL - Jupiler Pro League,both,188,Nigeria,CF,15,27,10,2245,7,
Ivan Saponjic,20,SV Zulte Waregem,BEL - Jupiler Pro League,right,192,Serbia,CF,15,44,11,2133,0,
Hamdi Harbaoui,33,SV Zulte Waregem,BEL - Jupiler Pro League,right,186,Tunisia  Belgium,CF,15,20,12,1744,0,
Ivo Rodrigues,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,180,Portugal,W,15,34,5,2549,6,
Jonathan Pitroipa,31,Royal Antwerp FC,BEL - Jupiler Pro League,right,176,Burkina Faso,W,15,36,8,3080,14,
Romain Habran,23,Royal Antwerp FC,BEL - Jupiler Pro League,right,178,France,W,15,29,0,1370,5,
Stallone Limbombe,26,Royal Antwerp FC,BEL - Jupiler Pro League,,169,Belgium  DR Congo,W,15,30,5,2300,3,
Obbi Oulare,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,196,Belgium  Guinea,CF,15,12,2,399,0,
Joaquín Ardaiz,19,Royal Antwerp FC,BEL - Jupiler Pro League,left,183,Uruguay,CF,15,11,1,293,0,
William Owusu Acheampong,28,Royal Antwerp FC,BEL - Jupiler Pro League,right,188,Ghana  Portugal,CF,15,22,6,1593,0,
Björn Vleminckx,32,Royal Antwerp FC,BEL - Jupiler Pro League,right,183,Belgium,CF,15,26,4,1593,2,
Kafoumba Touré,24,Royal Antwerp FC,BEL - Jupiler Pro League,right,183,Mali  Cote d'Ivoire,CF,15,14,5,1088,0,
Roberto Núñez,22,Royal Antwerp FC,BEL - Jupiler Pro League,right,182,Spain,CF,15,7,9,654,1,
Amara Baby,29,RSC Charleroi,BEL - Jupiler Pro League,right,183,Senegal  France,W,15,37,8,2346,3,
Mamadou Fall,26,RSC Charleroi,BEL - Jupiler Pro League,right,184,Senegal,W,15,31,11,2686,5,
Romain Grange,29,RSC Charleroi,BEL - Jupiler Pro League,right,177,France,W,15,31,6,2235,1,
Jordan Remacle,31,RSC Charleroi,BEL - Jupiler Pro League,right,175,Belgium,W,15,30,3,2465,8,
Kaveh Rezaei,25,RSC Charleroi,BEL - Jupiler Pro League,right,185,Iran,CF,15,34,8,2557,6,
Chris Bedia,22,RSC Charleroi,BEL - Jupiler Pro League,,190,Cote d'Ivoire  France,CF,15,11,4,664,1,
David Pollet,29,RSC Charleroi,BEL - Jupiler Pro League,left,188,Belgium  France,CF,15,39,6,2115,4,
Igor Vetokele,25,Sint-Truidense VV,BEL - Jupiler Pro League,right,173,Angola  Belgium,W,15,18,2,1105,1,
Cristian Ceballos,25,Sint-Truidense VV,BEL - Jupiler Pro League,left,173,Spain,W,15,7,0,300,0,
Elton Acolatse,22,Sint-Truidense VV,BEL - Jupiler Pro League,right,182,Netherlands  Ghana,W,15,26,1,1549,4,
Jonathan Legear,30,Sint-Truidense VV,BEL - Jupiler Pro League,right,179,Belgium,W,15,15,2,626,1,
Jordan Botaka,24,Sint-Truidense VV,BEL - Jupiler Pro League,right,184,DR Congo  Netherlands,W,15,19,0,749,1,
Yohan Boli,24,Sint-Truidense VV,BEL - Jupiler Pro League,,181,Cote d'Ivoire  France,CF,15,16,5,742,0,
Chuba Akpom,22,Sint-Truidense VV,BEL - Jupiler Pro League,right,186,England  Nigeria,CF,15,41,7,2152,1,
Babacar Gueye,23,Sint-Truidense VV,BEL - Jupiler Pro League,right,190,Senegal,CF,15,11,1,738,2,
Kurt Abrahams,21,Sint-Truidense VV,BEL - Jupiler Pro League,,0,South Africa,CF,15,,,,,
Nana Opoku Ampomah,22,Waasland-Beveren,BEL - Jupiler Pro League,,175,Ghana,W,15,,,,,
Aleksandar Boljevic,22,Waasland-Beveren,BEL - Jupiler Pro League,both,186,Montenegro,W,15,25,5,1902,4,
Tuur Dierckx,22,Waasland-Beveren,BEL - Jupiler Pro League,both,171,Belgium,W,15,34,5,1061,3,
Floriano Vanzo,23,Waasland-Beveren,BEL - Jupiler Pro League,right,180,Belgium  Italy,W,15,35,2,1778,3,
Olivier Myny,23,Waasland-Beveren,BEL - Jupiler Pro League,,178,Belgium,W,15,34,3,2072,3,
Isaac Thelin,25,Waasland-Beveren,BEL - Jupiler Pro League,right,189,Sweden  DR Congo,CF,15,12,1,672,0,
Ryan Mmaee,20,Waasland-Beveren,BEL - Jupiler Pro League,,183,Belgium  Morocco,CF,15,5,0,226,1,
Cherif Ndiaye,22,Waasland-Beveren,BEL - Jupiler Pro League,,188,Senegal,CF,15,,,,,
Steve De Ridder,31,KSC Lokeren,BEL - Jupiler Pro League,right,178,Belgium,W,15,39,5,2928,4,
Bob Straetman,20,KSC Lokeren,BEL - Jupiler Pro League,,0,Belgium,W,15,,,,,
